관람평
극장에서 잘 봤다고 느껴진 항공액션
긴장감에 어깨를 움츠리고 봤다가. 막판에 눈물도 터짐ㅠㅠ 스릴감도 너무 좋고 연기도 끝장! 비상선언따위에 비할바가 못됨
"올해 본 영화중에 제일 만족도가 높았던 영화임 액션 스케일, 배우 연기, 스토리 다 좋았다 특히 여진구 연기 미침"
이게 실화라니...쫄깃하고 마지막에 감동까지 너무 좋았음
하정우와 여진구의 미친 조합! 연기도 미쳤는데.. 여기 완전 액션 맛집이네!! 뽀디로 재관람 각입니다!!
항공액션으로서의 기본 가치들을 충실히 수행하면서 감정의 울림도 크게 전달. 극장 존재의 이유를 실현하는 영화.
여진구의 악역 연기가 진짜 인상깊었습니다 액션이 워낙 좋아서 극장에서 보길 추천합니다
오프닝 항공액션과 중간 서스펜스가 인상적이네요. 시간순삭. 앤딩감동. 한국사람이라면 꼭 한번은 봤으면 하는 영화입니다.
"좋아하는 배우, 장르라 조조부터 보고 나왔습니다. 4DX아니었는데 4DX인것처럼 들썩 거리면서 보다가 마지막엔 먹먹해져서 나왔어요. 진짜 추천함"
비행기 액션 장난 아니고 ㅠㅠ 너무 긴장해서 손에 땀 폭발했습니다.... 꼭 보세요 4dx도 볼예정입니다
